count,whiteWins,blackWins,draw,opening_name,opening_variation
176490,82976,87039,6475,Englund Gambit Complex, Hartlaub-Charlick Gambit
176360,88194,80534,7632,Zukertort Opening, Sicilian Invitation
175195,86264,80618,8313,Queen's Pawn Game, Symmetrical Variation
173075,89442,77328,6305,Ponziani Opening,~
171030,83926,80802,6302,Nimzowitsch Defense,~
170680,79225,86029,5426,Russian Game, Stafford Gambit
165968,80063,79312,6593,Italian Game, Giuoco Pianissimo
165624,86192,72968,6464,Mikenas Defense,~
165603,82444,76947,6212,St. George Defense,~
165360,79737,79154,6469,Ruy Lopez, Classical Variation
164949,87994,70427,6528,Queen's Gambit Declined, Queen's Knight Variation
164648,80460,77264,6924,Nimzo-Larsen Attack, Indian Variation
164100,84852,71738,7510,Four Knights Game, Scotch Variation Accepted
162205,87806,69817,4582,King's Gambit Accepted, MacLeod Defense
161214,78990,76570,5654,Italian Game, Schilling-Kostic Gambit
160216,79814,74431,5971,Ponziani Opening, Jaenisch Counterattack
160058,62032,90382,7644,King's Pawn Game,~
159805,75040,79469,5296,Benoni Defense, Benoni Gambit Accepted
156125,75135,74543,6447,Caro-Kann Defense, Breyer Variation
155269,74030,74446,6793,Sicilian Defense, Löwenthal Variation
151839,70548,74381,6910,Four Knights Game,~
151767,77838,66623,7306,King's Pawn Game, Maróczy Defense
151245,85614,59827,5804,King's Pawn Game, Damiano Defense
151221,74482,71651,5088,Italian Game, Two Knights Defense
150919,74518,69914,6487,Zukertort Opening, Kingside Fianchetto
148605,75180,66824,6601,English Opening, Symmetrical Variation
148148,73618,68148,6382,Sicilian Defense, Delayed Alapin
147752,67867,74408,5477,French Defense," Advance Variation, Paulsen Attack"
146733,64499,77265,4969,French Defense," Advance Variation, Nimzowitsch System"
145872,72605,68241,5026,King's Pawn Game, Macleod Attack
145249,75730,64468,5051,Italian Game, Classical Variation
142449,72267,63100,7082,Slav Defense, Exchange Variation
142250,71290,65056,5904,Hungarian Opening, Slav Formation
142223,71487,64714,6022,Scotch Game, Classical Variation
141964,70121,65944,5899,English Opening, Great Snake Variation
141858,66416,69709,5733,Sicilian Defense, Taimanov Variation
141012,86578,48979,5455,King's Knight Opening,~
137790,67128,64913,5749,Scandinavian Defense, Gubinsky-Melts Defense
136874,66098,64606,6170,English Opening, Caro-Kann Defensive System
136838,69001,62062,5775,Zukertort Opening, Slav Invitation
