elo,count
400,101
500,1042
600,5753
700,21487
800,56579
900,119960
1000,199552
1100,263175
1200,324995
1300,374740
1400,403937
1500,406319
1600,378487
1700,331841
1800,273324
1900,199929
2000,126269
2100,71964
2200,36333
2300,18711
2400,9427
2500,4563
2600,2400
2700,1386
2800,929
2900,985
3000,48
3100,3
