elo,count
400,462
500,2962
600,12471
700,39004
800,89391
900,156164
1000,224069
1100,266923
1200,323111
1300,376738
1400,430792
1500,485666
1600,514282
1700,527175
1800,498556
1900,412478
2000,294880
2100,175770
2200,96692
2300,46378
2400,22962
2500,11704
2600,5845
2700,3214
2800,1505
2900,370
3000,74
3100,9
