elo,count
400,10765
500,66520
600,252327
700,674845
800,1404311
900,2411880
1000,3573127
1100,4528062
1200,5684736
1300,6877949
1400,7968652
1500,8920309
1600,9392262
1700,9572462
1800,9181355
1900,7929483
2000,6141336
2100,4270242
2200,2628943
2300,1530593
2400,836251
2500,430942
2600,219379
2700,112929
2800,65433
2900,33775
3000,5070
3100,605
3200,43
