elo,count
400,92
500,579
600,2823
700,9105
800,20199
900,41564
1000,70589
1100,100894
1200,140805
1300,193684
1400,238372
1500,293908
1600,338379
1700,344434
1800,327858
1900,272023
2000,209664
2100,146062
2200,91117
2300,55216
2400,31691
2500,17233
2600,9005
2700,4947
2800,2973
2900,1030
3000,298
3100,73
3200,4
