elo,count
400,228
500,1449
600,5892
700,18698
800,46808
900,99376
1000,177738
1100,264122
1200,381012
1300,520935
1400,686722
1500,850222
1600,983000
1700,1098326
1800,1128459
1900,1025674
2000,825902
2100,586201
2200,360785
2300,208083
2400,112032
2500,53523
2600,27084
2700,13994
2800,8116
2900,2800
3000,398
3100,22
