elo,count
400,1121
500,6644
600,24737
700,67615
800,142905
900,237178
1000,346888
1100,438709
1200,535906
1300,624072
1400,703993
1500,766940
1600,774303
1700,772639
1800,730192
1900,611810
2000,448053
2100,297999
2200,177332
2300,97652
2400,51848
2500,25559
2600,11810
2700,5555
2800,3004
2900,1978
3000,260
3100,69
3200,18
