elo,count
400,306
500,2504
600,10461
700,28049
800,59813
900,108358
1000,168878
1100,223480
1200,292321
1300,369082
1400,446213
1500,521278
1600,568116
1700,607788
1800,605155
1900,546625
2000,423611
2100,281042
2200,164606
2300,91713
2400,47953
2500,23969
2600,11949
2700,6142
2800,3123
2900,1233
3000,124
3100,4
