elo,count
400,1343
500,9137
600,35121
700,87651
800,164508
900,242468
1000,300510
1100,314938
1200,337095
1300,334878
1400,322991
1500,297720
1600,246920
1700,200026
1800,145322
1900,91144
2000,49910
2100,25382
2200,10339
2300,4271
2400,2026
2500,1052
2600,676
2700,357
2800,230
2900,293
3000,5
